_H:	$Name	%Input[2:0,0]<2:25,1>	%Input[2:1,0]	%Input[2:2,0]	%Input[2:3,0]	%Input[2:4,0]	%Input[2:5,0]	%Input[2:6,0]	%Input[2:7,0]	%Input[2:8,0]	%Input[2:9,0]	%Input[2:10,0]	%Input[2:11,0]	%Input[2:12,0]	%Input[2:13,0]	%Input[2:14,0]	%Input[2:15,0]	%Input[2:16,0]	%Input[2:17,0]	%Input[2:18,0]	%Input[2:19,0]	%Input[2:20,0]	%Input[2:21,0]	%Input[2:22,0]	%Input[2:23,0]	%Input[2:24,0]	%Output[2:0,0]<2:1,1>
_D:	"N120_20140703_045000_20140703_051000"	0.201389	0.50137	0	0	0	1	0	0	0	0	0	0.327273	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0382448
_D:	"N120_20140703_051000_20140703_053000"	0.215278	0.50137	0	0	0	1	0	0	0	0	0	0.321212	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0512281
_D:	"N120_20140703_053000_20140703_055000"	0.229167	0.50137	0	0	0	1	0	0	0	0	0	0.330303	0	0	0	0	0	0	0	0	0	0	0	0	0	0.533984
_D:	"N120_20140703_055000_20140703_061000"	0.243056	0.50137	0	0	0	1	0	0	0	0	0	0.30303	0	0	0	0	0	0	0	0	0	0	0	0	0	0.244292
_D:	"N120_20140703_061000_20140703_063000"	0.256944	0.50137	0	0	0	1	0	0	0	0	0	0.318182	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0388229
_D:	"N120_20140703_063000_20140703_065000"	0.270833	0.50137	0	0	0	1	0	0	0	0	0	0.330303	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0426406
_D:	"N120_20140703_065000_20140703_071000"	0.284722	0.50137	0	0	0	1	0	0	0	0	0	0.330303	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0645998
_D:	"N120_20140703_071000_20140703_073000"	0.298611	0.50137	0	0	0	1	0	0	0	0	0	0.30303	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0500347
_D:	"N120_20140703_073000_20140703_075000"	0.3125	0.50137	0	0	0	1	0	0	0	0	0	0.324242	0	0	0	0	0	0	0	0	0	0	0	0	0	0.123344
_D:	"N120_20140703_075000_20140703_081000"	0.326389	0.50137	0	0	0	1	0	0	0	0	0	0.290909	0	0	0	0	0	0	0	0	0	0	0	0	0	0.321344
_D:	"N120_20140703_081000_20140703_083000"	0.340278	0.50137	0	0	0	1	0	0	0	0	0	0.309091	0	0	0	0	0	0	0	0	0	0	0	0	0	0.332677
_D:	"N120_20140703_083000_20140703_085000"	0.354167	0.50137	0	0	0	1	0	0	0	0	0	0.30303	0	0	0	0	0	0	0	0	0	0	0	0	0	0.334224
_D:	"N120_20140703_085000_20140703_091000"	0.368056	0.50137	0	0	0	1	0	0	0	0	0	0.278788	0	0	0	0	0	0	0	0	0	0	0	0	0	0.302182
_D:	"N120_20140703_091000_20140703_093000"	0.381944	0.50137	0	0	0	1	0	0	0	0	0	0.293939	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0807515
_D:	"N120_20140703_093000_20140703_095000"	0.395833	0.50137	0	0	0	1	0	0	0	0	0	0.290909	0	0	0	0	0	0	0	0	0	0	0	0	0	0.373505
_D:	"N120_20140703_095000_20140703_101000"	0.409722	0.50137	0	0	0	1	0	0	0	0	0	0.324242	0	0	0	0	0	0	0	0	0	0	0	0	0	0.496276
_D:	"N120_20140703_101000_20140703_103000"	0.423611	0.50137	0	0	0	1	0	0	0	0	0	0.342424	0	0	0	0	0	0	0	0	0	0	0	0	0	0.463953
_D:	"N120_20140703_123000_20140703_125000"	0.520833	0.50137	0	0	0	1	0	0	0	0	0	0.378788	0	0	0	0	0	0	0	1	0	0	0	0	0	0.0150833
_D:	"N120_20140703_125000_20140703_131000"	0.534722	0.50137	0	0	0	1	0	0	0	0	0	0.387879	0	0	0	0	0	0	0	1	0	0	0	0	0	0.012
_D:	"N120_20140703_131000_20140703_133000"	0.548611	0.50137	0	0	0	1	0	0	0	0	0	0.354545	0	0	0	0	0	0	0	1	0	0	0	0	0	0.0170032
_D:	"N120_20140703_133000_20140703_135000"	0.5625	0.50137	0	0	0	1	0	0	0	0	0	0.348485	0	0	0	0	0	0	0	1	0	0	0	0	0	0.00863021
_D:	"N120_20140703_135000_20140703_141000"	0.576389	0.50137	0	0	0	1	0	0	0	0	0	0.381818	0	0	0	0	0	0	0	1	0	0	0	0	0	0.015625
_D:	"N120_20140703_173000_20140703_175000"	0.729167	0.50137	0	0	0	1	0	0	0	0	0	0.333333	0	0	0	0	0	0	0	1	0	0	0	0	0	0.016599
_D:	"N120_20140703_175000_20140703_181000"	0.743056	0.50137	0	0	0	1	0	0	0	0	0	0.321212	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00972917
_D:	"N120_20140703_181000_20140703_183000"	0.756944	0.50137	0	0	0	1	0	0	0	0	0	0.327273	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0185677
_D:	"N120_20140703_183000_20140703_185000"	0.770833	0.50137	0	0	0	1	0	0	0	0	0	0.312121	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0666771
_D:	"N120_20140703_185000_20140703_191000"	0.784722	0.50137	0	0	0	1	0	0	0	0	0	0.287879	0	0	0	0	0	0	0	0	0	0	0	0	0	0.514484
